key,,shift,ctrl,alt,meta,shift ctrl,ctrl alt,shift ctrl alt,shift alt,shift ctrl meta alt
U,,,org.intellij.plugins.markdown.ui.actions.styling.InsertImageAction|GotoSuperMethod,,,Markdown.Styling.CreateLink|ShelveChanges.UnshelveWithDialog|EditorToggleCase,ChangesView.UnshelveSilently|ShowUmlDiagramPopup|Frontend.ChangesView.UnshelveSilently,ShowUmlDiagram,,
V,,Graph.DistributeNodes.Vertically,Terminal.Paste|$Paste,,,Terminal.Paste|PasteMultiple,IntroduceVariable,EditorPasteSimple,,
W,,,UsageFiltering.WriteAccess|EditorSelectWord|Terminal.DeletePreviousWord,,,EditorUnSelectWord,,DumpLookupElementWeights,tasks.close,
X,,,$Cut,,,com.jetbrains.php.framework.FrameworkRunConsoleAction|Code.Review.Editor.New.Comment,XPathView.Actions.Evaluate|XPathView.Actions.ShowPath|XPathView.Actions.FindByExpression,PublishGroup.UploadTo,context.clear,
Y,,,EditorDeleteLine|copilot.diffBlock.accept,,,CWMHostShowPopupAction,Synchronize,SingleUserFollowAction|CurrentLeadUnfollowAction,,
Z,,,$Undo,,,$Redo,Vcs.RollbackChangedLines|ChangesView.Revert,,,
0,,,GotoBookmark0,ActivateCommitToolWindow,,ToggleBookmark0,,,ResetIdeScaleAction,
1,,,DuplicatesForm.SendToLeft|FileChooser.GotoHome|GotoBookmark1,ActivateProjectToolWindow,,ToggleBookmark1,,com.intellij.searchEverywhereMl.ranking.core.actions.OpenFeaturesInScratchFileAction,,
2,,,FileChooser.GotoProject|DuplicatesForm.SendToRight|GotoBookmark2,ActivateBookmarksToolWindow,,ToggleBookmark2,,ShowFilePath,,
3,,,FileChooser.GotoModule|GotoBookmark3,ActivateFindToolWindow,,ToggleBookmark3,,,,
4,,,GotoBookmark4,ActivateRunToolWindow,,ToggleBookmark4,Images.EditExternally,,,
5,,,GotoBookmark5,ActivateDebugToolWindow,,ToggleBookmark5,XDebugger.AttachToProcess,,,
6,,,GotoBookmark6,ActivateProblemsViewToolWindow,,ToggleBookmark6,SwitchCoverage,,EditorFocusGutter|EditorShowGutterIconTooltip,
7,,,GotoBookmark7,ActivateStructureToolWindow,,ToggleBookmark7,ShowUsages,ShowSettingsAndFindUsages,,
8,,,GotoBookmark8,ActivateServicesToolWindow,,ToggleBookmark8,QuickEvaluateExpression,,,
9,,,GotoBookmark9,ActivateVersionControlToolWindow,,ToggleBookmark9,ForceRunToCursor,DumpMLCompletionFeatures,RunToCursor,
F1,ContextHelp,ExternalJavaDoc,ShowErrorDescription,SelectIn,,,,,,
